step,time_sec,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19,q_20,q_21,q_22,q_23,q_24,q_25
35,0.7,0.0380308,0.0110968,1.04195,0.999732,-0.0104102,-0.00952855,0.0183538,0.0124179,0.0141044,-0.0211087,0.17811,-0.138429,-0.214149,-0.00280117,-0.0125482,0.145326,-0.169324,0.0147163,-0.14978,1.61661,-0.127303,1.35698,0.401206,-1.38119,-0.853225,1.14269
36,0.72,0.0456584,0.00874694,1.04202,0.999771,-0.00892721,-0.00451473,0.0189084,0.0122906,0.0131068,-0.0232572,0.176101,-0.142013,-0.215067,-0.002446,-0.0138928,0.144526,-0.170653,0.0158002,-0.15074,1.62226,-0.127807,1.36197,0.401752,-1.38601,-0.856296,1.14693
37,0.74,0.0517346,0.004264,1.04177,0.999759,-0.0072403,-0.00077106,0.0207293,0.0115127,0.0136855,-0.0251456,0.174412,-0.143557,-0.215411,-0.000639303,-0.0150311,0.146169,-0.169456,0.0183231,-0.151429,1.62791,-0.128235,1.36661,0.402122,-1.39089,-0.859101,1.15065
38,0.76,0.0562881,-0.0023065,1.04177,0.999712,-0.00488581,0.00139821,0.023452,0.0103246,0.0148124,-0.0266782,0.17445,-0.140945,-0.215916,0.00167214,-0.0142963,0.148665,-0.168464,0.0234213,-0.151591,1.63269,-0.128645,1.37085,0.402134,-1.39518,-0.861502,1.15382
39,0.78,0.0593419,-0.0107607,1.04188,0.999619,-0.00163178,0.0022338,0.0274628,0.0090533,0.0154336,-0.0282914,0.17549,-0.13425,-0.216177,0.00389688,-0.012592,0.152769,-0.165992,0.0300514,-0.151456,1.63727,-0.128976,1.37475,0.401871,-1.3986,-0.863582,1.15665
40,0.8,0.0609812,-0.021167,1.04189,0.999465,0.00245115,0.00166391,0.0325786,0.00729174,0.0159542,-0.0295565,0.177399,-0.124142,-0.215882,0.00615419,-0.0102357,0.15997,-0.160879,0.0383673,-0.15105,1.64238,-0.129251,1.37863,0.40144,-1.40162,-0.865516,1.15935
41,0.82,0.0614734,-0.0334725,1.04265,0.999245,0.0069,-0.00085858,0.0382252,0.00645409,0.0173808,-0.0298577,0.181252,-0.106589,-0.219209,0.00880766,-0.00581038,0.168959,-0.164176,0.0492245,-0.150256,1.64738,-0.129476,1.38232,0.400428,-1.40311,-0.867091,1.16183
42,0.84,0.0607638,-0.0475047,1.044,0.99899,0.0115549,-0.00480912,0.0431529,0.00551408,0.0205546,-0.0301305,0.187696,-0.0827667,-0.223148,0.0115679,0.00204304,0.174564,-0.171582,0.0629795,-0.148716,1.65262,-0.129649,1.38606,0.399772,-1.40542,-0.868585,1.16395
43,0.86,0.0589663,-0.0631065,1.04522,0.998671,0.016239,-0.00991173,0.0478889,0.0049865,0.0253347,-0.0298571,0.194448,-0.0554472,-0.227593,0.0157793,0.0101448,0.18248,-0.179148,0.0762844,-0.147207,1.65788,-0.129799,1.38966,0.399157,-1.40761,-0.870012,1.16595
44,0.88,0.0561706,-0.079557,1.04626,0.998342,0.020845,-0.0155072,0.0513644,0.00515557,0.0314604,-0.029805,0.201372,-0.0255894,-0.232639,0.0210404,0.0174718,0.190975,-0.185552,0.086232,-0.145943,1.66294,-0.129929,1.39294,0.399236,-1.40997,-0.871457,1.16791
45,0.9,0.0527939,-0.0959976,1.04696,0.99802,0.0253264,-0.0220365,0.0531821,0.00660007,0.0382427,-0.0281068,0.208633,0.00491241,-0.237185,0.0267541,0.0253076,0.200253,-0.191517,0.0906732,-0.145662,1.66747,-0.130045,1.3955,0.399562,-1.41258,-0.872828,1.16969
46,0.92,0.048958,-0.111921,1.04724,0.997696,0.0295594,-0.0290927,0.0536827,0.00839102,0.0454398,-0.0253444,0.216153,0.0347505,-0.239401,0.0323803,0.0331152,0.210633,-0.197553,0.0900365,-0.145363,1.67136,-0.130156,1.39777,0.401161,-1.41376,-0.874171,1.17174
47,0.94,0.0438438,-0.12612,1.04819,0.997431,0.0349114,-0.0337755,0.0526569,0.00693259,0.0470507,-0.0224862,0.214384,0.0205949,-0.238341,0.0346783,0.0365608,0.213102,-0.196027,0.0850127,-0.145435,1.67303,-0.130358,1.39968,0.403471,-1.41579,-0.875627,1.17366
48,0.96,0.0369323,-0.138191,1.04998,0.997166,0.0419756,-0.0352228,0.0515554,0.00773032,0.0435445,-0.0248655,0.209283,0.00651587,-0.236449,0.0320764,0.030983,0.211399,-0.188351,0.0771545,-0.146577,1.67614,-0.130458,1.40097,0.405004,-1.41657,-0.876787,1.17552
49,0.98,0.0287661,-0.148551,1.05204,0.99682,0.0501183,-0.0355027,0.0507779,0.0094678,0.0394459,-0.0284543,0.206731,-0.00181178,-0.234819,0.025545,0.0210858,0.208218,-0.177619,0.0703912,-0.147998,1.68035,-0.13042,1.40164,0.405576,-1.41577,-0.877445,1.17696
50,1,0.019679,-0.157609,1.05403,0.996358,0.0586783,-0.0356467,0.050575,0.0107087,0.0363994,-0.0300588,0.203634,-0.00805742,-0.234202,0.0166181,0.0092713,0.205268,-0.165655,0.0652745,-0.149164,1.6841,-0.130354,1.40207,0.405747,-1.41399,-0.87781,1.17814
