step,time_sec,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,u_9,u_10,u_11,u_12,u_13,u_14,u_15,u_16,u_17,u_18
37,0.74,0.0299331,0.0473345,-0.0466999,-0.0615298,-0.0451125,-0.0468661,-0.0360502,-0.100259,-0.0683685,-0.0618809,0.00448963,-0.158873,-0.00808994,-0.00679995,-0.0524991,-0.15974,0.00430888,0.00646707,-0.0514135
38,0.76,0.00275109,0.0193363,-0.044913,-0.0262857,-0.0168345,0.00268385,-0.0391994,-0.0166142,-0.0322933,-0.0137785,0.00667625,0.0368011,0.0015283,0.00134353,0.0141348,0.0296059,0.00557912,0.000711398,0.0126235
39,0.78,0.0257629,0.0380307,-0.0461299,-0.0576801,-0.0446673,-0.0334848,-0.0562199,-0.0464681,-0.0335358,-0.0359596,-0.00213049,-0.111025,-0.00618268,-0.0047207,-0.0375272,-0.106607,-0.000794781,0.00328055,-0.0355194
40,0.8,0.00573318,0.0196665,-0.0117071,-0.0115474,-0.00899515,-0.00441233,-0.0265777,-0.0231084,-0.0135992,-0.00755942,-0.00301962,-0.0204337,-0.00257838,-0.00146482,-0.00521712,-0.0182304,0.00114625,0.000951391,-0.00486944
41,0.82,0.00328459,0.00244929,0.00390005,-0.00305381,-0.00692115,-0.000132301,-0.00700052,-0.0284485,-0.0181882,-0.012233,-0.0044485,-0.00733274,-0.00036953,-0.00039888,-0.00248994,-0.00519777,0.000478804,0.000152568,-0.00245771
42,0.84,0.038368,0.0425297,-0.0290158,-0.0538482,-0.061848,-0.0286612,-0.0267077,-0.105981,-0.0835718,-0.058043,-0.0202965,-0.109272,-0.0102019,-0.00692196,-0.0301629,-0.0977055,0.00446395,0.00411523,-0.0296972
43,0.86,-0.0193111,-0.00946584,-0.135533,-0.126409,-0.103422,-0.000361155,-0.0116284,0.0537699,0.0260527,0.0064208,0.0266576,0.0281865,0.00220919,0.00266532,0.00403383,0.0123443,-0.000163103,0.000311843,0.00437842
44,0.88,-0.00717655,-0.00728103,-0.127908,-0.099102,-0.0571585,-0.00895523,0.0010528,0.0503671,0.0158323,-0.0034841,0.0237999,0.00616243,0.00151548,0.00148404,-0.00115283,-0.00747313,0.000212442,0.000879162,-0.00109957
45,0.9,-0.00553108,-0.0114658,-0.118977,-0.0815714,-0.0329149,-0.00930045,0.0038309,0.04851,0.0146257,-0.00360704,0.0237633,0.00398602,0.00169534,0.0013351,-0.000985848,-0.00946807,0.00118846,0.00118892,-0.00111685
46,0.92,-0.00353317,-0.010539,-0.117246,-0.0733393,-0.00711726,-0.0098564,0.00482631,0.0465626,0.0134978,-0.00337955,0.0216523,0.0050098,0.00184015,0.00122403,0.000288764,-0.00667857,0.00163135,0.00114627,7.67768e-05
47,0.94,0.0019538,-0.0135535,-0.106129,-0.0668304,-0.0328493,-0.00536592,0.0142035,0.0297244,0.00791863,-0.00382837,0.0112998,-0.00198685,-0.000370116,0.000341579,-0.00167186,-0.00814516,-0.000530344,0.00042762,-0.00142269
48,0.96,-5.19008e-05,0.0120444,-0.128971,-0.108391,-0.0293287,-0.0054056,-0.0110192,0.0132789,0.001478,-0.00412433,0.0069518,-0.00259651,-9.88845e-05,8.36047e-05,-4.14438e-05,-0.00594099,-0.000134925,0.000201789,-0.000311558
49,0.98,-0.000735291,0.0170289,0.0832164,0.0408101,-0.0202891,0.00065814,-0.00674746,-0.0116803,-0.00511396,-0.00440071,-0.00386531,-0.00168445,-3.5702e-05,-8.47117e-05,-0.00261103,-0.000771362,-0.000311722,-0.000178308,-0.00275246
50,1,0.00507055,0.00706424,0.036549,0.012738,-0.00360229,0.000229477,-0.00494765,-0.0124877,-0.00608794,-0.00424,-0.00900326,-0.00389813,-0.000548958,-0.000461842,-0.00151019,0.000800299,-0.000781684,-0.000512722,-0.00150134
